-1.92311 -0.0605868 0.779119
-1.92233 -0.0699082 0.816813
-1.89412 -0.0751649 0.861748
-1.89412 -0.0751649 0.861748
-1.89412 -0.0751649 0.861748
-1.84593 -0.0801539 0.896977
-1.84593 -0.0801539 0.896977
-1.84593 -0.0801539 0.896977
-1.77914 -0.0893502 0.968134
-1.73745 -0.095636 0.994057
-1.73234 -0.0963527 0.996764
-1.68967 -0.100905 1.01846
-1.65602 -0.102121 1.03008
-1.65336 -0.102559 1.03184
-1.62619 -0.106883 1.04779
-1.58894 -0.110992 1.06692
-1.55711 -0.115445 1.08064
-1.55711 -0.115445 1.08064
-1.52741 -0.118297 1.08974
-1.48791 -0.121153 1.09691
-1.48791 -0.121153 1.09691
-1.44622 -0.125593 1.09879
-1.41938 -0.12984 1.10145
-1.41938 -0.12984 1.10145
-1.39047 -0.132591 1.10289
-1.39047 -0.132591 1.10289
-1.35751 -0.134307 1.10085
-1.35751 -0.134307 1.10085
-1.31969 -0.13638 1.09254
-1.28401 -0.14166 1.08168
-1.28401 -0.14166 1.08168
-1.25642 -0.144198 1.0699
-1.25642 -0.144198 1.0699
-1.22184 -0.146495 1.05465
-1.22184 -0.146495 1.05465
-1.19056 -0.148043 1.03928
-1.15921 -0.150474 1.02071
-1.15921 -0.150474 1.02071
-1.15921 -0.150474 1.02071
-1.12908 -0.154282 0.996909
-1.09733 -0.157614 0.971184
-1.09733 -0.157614 0.971184
-1.06621 -0.158189 0.943608
-1.06621 -0.158189 0.943608
-1.03174 -0.160099 0.912827
-0.99785 -0.161517 0.870793
-0.978323 -0.163083 0.84974
-0.964553 -0.163083 0.837771
-0.964553 -0.163083 0.837771
-0.931125 -0.163311 0.806762
-0.928414 -0.163726 0.802465
-0.912046 -0.166107 0.76717
-0.909292 -0.166164 0.762207
-0.882322 -0.167804 0.723118
-0.878456 -0.167826 0.718205
-0.853169 -0.166833 0.681286
-0.845242 -0.167203 0.667892
-0.828327 -0.168725 0.639582
-0.791125 -0.171493 0.584349
-0.791125 -0.171493 0.584349
-0.791125 -0.171493 0.584349
-0.738318 -0.177433 0.480292
-0.738318 -0.177433 0.480292
-0.722611 -0.178888 0.427746
-0.722611 -0.178888 0.427746
-0.722611 -0.178888 0.427746
-0.720415 -0.178805 0.422249
-0.695344 -0.179919 0.373972
-0.667142 -0.183527 0.306646
-0.667142 -0.183527 0.306646
-0.630792 -0.191971 0.192818
-0.598665 -0.192041 0.141891
-0.598665 -0.192041 0.141891
-0.572153 -0.185429 0.118453
  
